#From,To,Type (1: Power Flow ; 2:Power Injection; 3: Voltage Angle)
2,1,1
2,12,1
3,5,1
3,12,1
4,5,1
5,6,1
5,8,1
6,7,1
7,12,1
9,8,1
9,10,1
11,4,1
12,14,1
12,16,1
12,117,1
14,15,1
15,13,1
15,19,1
15,33,1
17,16,1
17,18,1
17,30,1
17,113,1
19,18,1
19,20,1
19,34,1
21,20,1
22,21,1
23,22,1
23,24,1
23,32,1
24,72,1
25,23,1
26,25,1
26,30,1
27,25,1
27,28,1
27,115,1
30,8,1
31,17,1
31,29,1
32,27,1
34,36,1
35,36,1
37,33,1
37,35,1
37,38,1
37,39,1
40,37,1
40,42,1
41,40,1
42,49,1
43,34,1
43,44,1
44,45,1
45,46,1
45,49,1
46,48,1
47,46,1
49,47,1
49,51,1
49,54,1
50,49,1
53,52,1
54,53,1
54,59,1
55,54,1
55,59,1
56,55,1
57,50,1
58,51,1
58,56,1
60,59,1
61,59,1
61,64,1
62,67,1
63,59,1
63,64,1
65,38,1
65,64,1
65,66,1
65,68,1
67,66,1
69,49,1
69,75,1
71,70,1
71,72,1
71,73,1
74,70,1
74,75,1
75,70,1
76,118,1
77,69,1
77,76,1
77,82,1
78,77,1
79,78,1
80,97,1
81,80,1
82,83,1
82,96,1
83,84,1
85,84,1
85,89,1
86,85,1
86,87,1
88,85,1
89,88,1
90,89,1
91,92,1
92,89,1
92,94,1
93,92,1
94,93,1
95,94,1
95,96,1
96,80,1
96,94,1
97,96,1
98,80,1
98,100,1
99,80,1
100,94,1
100,104,1
101,100,1
102,92,1
103,100,1
105,103,1
105,107,1
106,105,1
107,106,1
108,105,1
109,108,1
110,103,1
110,111,1
112,110,1
113,32,1
114,115,1
116,68,1
118,75,1
9,9,2
18,18,2
24,24,2
25,25,2
26,26,2
27,27,2
28,28,2
32,32,2
34,34,2
46,46,2
49,49,2
52,52,2
56,56,2
60,60,2
63,63,2
64,64,2
78,78,2
80,80,2
81,81,2
90,90,2
91,91,2
94,94,2
95,95,2
96,96,2
106,106,2
108,108,2
109,109,2
111,111,2
116,116,2
118,118,2
16,16,3
40,40,3
47,47,3
62,62,3
66,66,3
73,73,3
88,88,3
